,A1,A2,E1,E2
142,-0.14977321079608996,-1.4481644218493572,-0.08313019187256102,6.94493424646407
143,-0.1594027742773362,-1.4519796295203327,-0.06021868120057898,6.9756762699324595
144,-0.18904166553552626,-1.463808242985486,0.011023977043470209,7.071227697682607
145,-0.20977679218003137,-1.4721636689191295,0.06151997960858448,7.138961991393876
146,-0.21863577076655893,-1.4757544884452418,0.08326030041794522,7.168138102497425
147,-0.2458460794788589,-1.4868656783129395,0.15066487359199482,7.258696892879473
148,-0.2648300751081899,-1.4946939793497205,0.19826406246615205,7.32277513016731
149,-0.27292749625411633,-1.4980529297812382,0.21871294255453783,7.350346013009687
150,-0.29774722565512135,-1.5084256683986041,0.28194672856138864,7.435803521968825
151,-0.3150159147716614,-1.5157139673822408,0.3264499573961593,7.496161063768236
152,-0.3223694215565688,-1.5188360183812888,0.3455307553665283,7.522102028776872
153,-0.3448615923730202,-1.5284566658721646,0.40439000212771553,7.60239368708705
154,-0.3604669588290872,-1.5351971161331908,0.44568363650952025,7.658995888084382
155,-0.3671007624616256,-1.5380793523078224,0.4633550752824719,7.683294851104061
156,-0.38734731603302086,-1.5469406376613768,0.5177403080531469,7.758394030342659
157,-0.40135341993146,-1.5531297226056584,0.5557795892349661,7.8112320227721925
158,-0.4072966004872047,-1.5557710472760349,0.5720288027556799,7.833887721958876
159,-0.4253933467567901,-1.5638711693402858,0.6219240363341791,7.903800323568794
160,-0.43787294850265357,-1.5695090846569766,0.656719082282108,7.952887299237393
161,-0.4431580519090405,-1.571909958618126,0.6715557691869226,7.973907722986192
162,-0.4592105057239391,-1.579251793496825,0.7170110475056621,8.038667408979432
163,-0.4702422907393219,-1.5843419026778038,0.7486151113965903,8.084035343365013
164,-0.47490417725582806,-1.5865041140078993,0.7620666358359601,8.103436345463946
165,-0.48902414826240237,-1.5930945168665647,0.8031834172049788,8.163100338387128
166,-0.4986904607787622,-1.59764287176553,0.8316830752658415,8.20479710690248
167,-0.5027653665014621,-1.5995693331881,0.8437903768887555,8.222601187789456
168,-0.5150681868474474,-1.6054185237978273,0.8807093490044873,8.27724657560312
169,-0.5234531940957063,-1.6094334428696009,0.906216334535588,8.31533341765097
170,-0.5269779724371232,-1.6111280135360722,0.917030528566569,8.331568652941375
171,-0.5375802628846558,-1.6162490360779251,0.9499214945692993,8.381289141617032
172,-0.544768482182096,-1.619740733770476,0.9725659340224627,8.415838433023199
173,-0.5477799969905709,-1.621208062706623,0.982145498806571,8.430537532628845
174,-0.5567978862258942,-1.6256163114143467,1.011199025289297,8.475440595665455
175,-0.5628730171190771,-1.628596572900017,1.0311238661265356,8.50653389444771
176,-0.5654076631619326,-1.6298419616502575,1.0395323297692256,8.519733377430471
177,-0.5729553873474353,-1.6335547648033453,1.0649528906665153,8.559937757118062
178,-0.5779993993263668,-1.6360366608902448,1.0823093400818566,8.58766409145805
179,-0.580092729377082,-1.6370659431739285,1.0896133901714022,8.59940356342886
180,-0.5862815495836846,-1.6401021987896491,1.1116137777524513,8.63503708373584
181,-0.5903739830948659,-1.642099836427274,1.126557596774638,8.659491454492159
182,-0.5920604238977896,-1.6429192728639836,1.1328255478812073,8.669812975834997
183,-0.5969978081971676,-1.6452991301784388,1.151622354371478,8.701010631268986
184,-0.6002152529065733,-1.6468274344834337,1.1643108738881853,8.722292704455876
185,-0.6015278949093157,-1.6474436206611742,1.1696114368021326,8.731240238964428
186,-0.605316919788049,-1.6491882021489548,1.1854214381130168,8.758142527735659
187,-0.6077326394090846,-1.650262726331778,1.1960111824113564,8.776355495135965
